"iso3","CountryName","year","SurveyType","SurveyId","FileName","no_extension","svkey","local_recode","boundary_file","recode_available","boundary_available","country","in_aggregate","in_analysis","in_main_sample","map_extraction_cached","recode_on_disk","boundary_on_disk","has_map_series","n_boundary_units","n_recode_units","n_region_overlap","omission_cause"
"AGO","Angola",2011,"MIS","AO2011MIS","AOBR62FL.ZIP","AOBR62FL","AO62FL","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs/AOBR62FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/AO2011MIS.rds",TRUE,TRUE,"Angola",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"AGO","Angola",2015,"DHS","AO2015DHS","AOBR71FL.ZIP","AOBR71FL","AO71FL","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs/AOBR71FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/AO2015DHS.rds",TRUE,TRUE,"Angola",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"AGO","Angola",2023,"DHS","AO2023DHS","AOBR81FL.zip","AOBR81FL","AO81FL","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs/AOBR81FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/AO2023DHS.rds",TRUE,TRUE,"Angola",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"BDI","Burundi",2010,"DHS","BU2010DHS","BUBR61FL.ZIP","BUBR61FL","BU61FL","/Users/jameswatson/.rdhs_cache/datasets_reformatted/BUBR61FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/BU2010DHS.rds",TRUE,TRUE,"Burundi",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"BDI","Burundi",2016,"DHS","BU2016DHS","BUBR71FL.ZIP","BUBR71FL","BU71FL","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs/BUBR71FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/BU2016DHS.rds",TRUE,TRUE,"Burundi",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"BEN","Benin",2001,"DHS","BJ2001DHS","BJBR41FL.zip","BJBR41FL","BJ41FL","/Users/jameswatson/.rdhs_cache/datasets_reformatted/BJBR41FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/BJ2001DHS.rds",TRUE,TRUE,"Benin",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"BEN","Benin",2006,"DHS","BJ2006DHS","BJBR51FL.ZIP","BJBR51FL","BJ51FL","/Users/jameswatson/.rdhs_cache/datasets_reformatted/BJBR51FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/BJ2006DHS.rds",TRUE,TRUE,"Benin",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"BEN","Benin",2012,"DHS","BJ2012DHS","BJBR61FL.ZIP","BJBR61FL","BJ61FL","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs/BJBR61FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/BJ2012DHS.rds",TRUE,TRUE,"Benin",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"BEN","Benin",2017,"DHS","BJ2017DHS","BJBR71FL.ZIP","BJBR71FL","BJ71FL","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs/BJBR71FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/BJ2017DHS.rds",TRUE,TRUE,"Benin",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"BFA","Burkina Faso",2003,"DHS","BF2003DHS","BFBR43FL.zip","BFBR43FL","BF43FL","/Users/jameswatson/.rdhs_cache/datasets_reformatted/BFBR43FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/BF2003DHS.rds",TRUE,TRUE,"Burkina Faso",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,14,14,12,"region_key_mismatch"
