"model","year","prevalence","af","lo","hi"
"spline_no_time_interaction",2000,5,0.0650100749711879,0.0328066488242987,0.0961412639543937
"spline_ti_interaction",2000,5,0.0392971002528154,0,0.0843704686123297
"full_te_surface",2000,5,0.0387328658073091,0,0.110201469878785
"spline_no_time_interaction",2010,5,0.0650100749711879,0.0328066488242987,0.0961412639543937
"spline_ti_interaction",2010,5,0.0569862861242072,0.024161466822992,0.0887069588627226
"full_te_surface",2010,5,0.0482223416645617,0,0.103469439009882
"spline_no_time_interaction",2014,5,0.0650100749711879,0.0328066488242987,0.0961412639543937
"spline_ti_interaction",2014,5,0.0639482261375544,0.0326150609607949,0.0942665241188732
"full_te_surface",2014,5,0.0559567866965999,0,0.108889429250518
"spline_no_time_interaction",2020,5,0.0650100749711879,0.0328066488242987,0.0961412639543937
"spline_ti_interaction",2020,5,0.0742727142836686,0.0397035565983445,0.10759743680391
"full_te_surface",2020,5,0.0943140708808118,0.0394856683637123,0.146012740062797
"spline_no_time_interaction",2024,5,0.0650100749711879,0.0328066488242987,0.0961412639543937
"spline_ti_interaction",2024,5,0.0810831503245982,0.0413328989820936,0.119185193983628
"full_te_surface",2024,5,0.0738722410487199,0.00401262446485329,0.138831829631104
"spline_no_time_interaction",2025,5,0.0650100749711879,0.0328066488242987,0.0961412639543937
"spline_ti_interaction",2025,5,0.0827776219809787,0.0414502379426613,0.122323196937434
"full_te_surface",2025,5,0.0662561220120792,0,0.147616403197615
"spline_no_time_interaction",2000,10,0.139736298148104,0.0772657397455961,0.197977501648318
"spline_ti_interaction",2000,10,0.087548383603485,0,0.17233024418143
"full_te_surface",2000,10,0.0877514599722715,0,0.215613113064485
"spline_no_time_interaction",2010,10,0.139736298148104,0.0772657397455961,0.197977501648318
"spline_ti_interaction",2010,10,0.123624706855931,0.0593566936494762,0.183501706493671
"full_te_surface",2010,10,0.105480521990132,0.00230872162890372,0.197983270089868
"spline_no_time_interaction",2014,10,0.139736298148104,0.0772657397455961,0.197977501648318
"spline_ti_interaction",2014,10,0.137641213014756,0.076719361546497,0.194543190317196
"full_te_surface",2014,10,0.119579023035919,0.0232787993555876,0.206384487029695
"spline_no_time_interaction",2020,10,0.139736298148104,0.0772657397455961,0.197977501648318
"spline_ti_interaction",2020,10,0.158218060715845,0.0922834961278397,0.219363281066014
"full_te_surface",2020,10,0.191811660575217,0.101048400680846,0.273410946176766
"spline_no_time_interaction",2024,10,0.139736298148104,0.0772657397455961,0.197977501648318
"spline_ti_interaction",2024,10,0.171643048959066,0.0971110895130217,0.240022520635746
"full_te_surface",2024,10,0.158357990900822,0.0324878425447388,0.267852847096389
"spline_no_time_interaction",2025,10,0.139736298148104,0.0772657397455961,0.197977501648318
"spline_ti_interaction",2025,10,0.174965005589965,0.0978193465281862,0.245513922980136
"full_te_surface",2025,10,0.145387630284468,0,0.281334107729899
"spline_no_time_interaction",2000,20,0.261816333644869,0.178357309586381,0.336797939504347
"spline_ti_interaction",2000,20,0.176972671528782,0.038602518823988,0.295427753168352
"full_te_surface",2000,20,0.180966677991353,0,0.354084416721261
"spline_no_time_interaction",2010,20,0.261816333644869,0.178357309586381,0.336797939504347
"spline_ti_interaction",2010,20,0.236981252976033,0.148276961822108,0.31644726957776
"full_te_surface",2010,20,0.213891503717713,0.0823857067556243,0.326550847696284
"spline_no_time_interaction",2014,20,0.261816333644869,0.178357309586381,0.336797939504347
"spline_ti_interaction",2014,20,0.259742782547753,0.177320023161973,0.333907760711147
"full_te_surface",2014,20,0.227824358333579,0.108771565707038,0.330973745181305
"spline_no_time_interaction",2020,20,0.261816333644869,0.178357309586381,0.336797939504347
"spline_ti_interaction",2020,20,0.292625604430162,0.204252519665095,0.371184266524853
"full_te_surface",2020,20,0.327284091086116,0.219021370493465,0.420538953297894
"spline_no_time_interaction",2024,20,0.261816333644869,0.178357309586381,0.336797939504347
"spline_ti_interaction",2024,20,0.313733892044006,0.213914337634008,0.400878055056303
"full_te_surface",2024,20,0.305663819791788,0.141157171139895,0.438660119237417
"spline_no_time_interaction",2025,20,0.261816333644869,0.178357309586381,0.336797939504347
"spline_ti_interaction",2025,20,0.318911831010832,0.215624580618934,0.408598124730812
"full_te_surface",2025,20,0.29532618352473,0.084793092330778,0.457428496807966
"spline_no_time_interaction",2000,30,0.340170636506663,0.254935344163341,0.415655023336028
"spline_ti_interaction",2000,30,0.247158648857352,0.0996699213337587,0.370486321161337
"full_te_surface",2000,30,0.25784024972462,0.0360667808362078,0.428589985303512
"spline_no_time_interaction",2010,30,0.340170636506663,0.254935344163341,0.415655023336028
"spline_ti_interaction",2010,30,0.315785432029282,0.224329020200456,0.396458566563442
"full_te_surface",2010,30,0.27501238209056,0.143327418272901,0.386455155291241
"spline_no_time_interaction",2014,30,0.340170636506663,0.254935344163341,0.415655023336028
"spline_ti_interaction",2014,30,0.34145714673061,0.256778734041776,0.41648778169304
"full_te_surface",2014,30,0.302330200306768,0.184118093441668,0.403414703167958
"spline_no_time_interaction",2020,30,0.340170636506663,0.254935344163341,0.415655023336028
"spline_ti_interaction",2020,30,0.378188211666007,0.2869423315097,0.457757882430825
"full_te_surface",2020,30,0.412604034723384,0.308025306997888,0.501377689802026
"spline_no_time_interaction",2024,30,0.340170636506663,0.254935344163341,0.415655023336028
"spline_ti_interaction",2024,30,0.40153779856192,0.298224205388513,0.489641835326631
"full_te_surface",2024,30,0.388005628509425,0.214873772454289,0.522959369339959
"spline_no_time_interaction",2025,30,0.340170636506663,0.254935344163341,0.415655023336028
"spline_ti_interaction",2025,30,0.4072371053322,0.300318853511004,0.497817182786595
"full_te_surface",2025,30,0.376554899648782,0.154650430231061,0.54020939141404
"spline_no_time_interaction",2000,50,0.400849069516494,0.305236786619992,0.483303331860632
"spline_ti_interaction",2000,50,0.311846494554245,0.150137449847026,0.442786075263532
"full_te_surface",2000,50,0.340940617649752,0.130528258247841,0.500433138185066
"spline_no_time_interaction",2010,50,0.400849069516494,0.305236786619992,0.483303331860632
"spline_ti_interaction",2010,50,0.386009546213795,0.286169335935201,0.471885565697177
"full_te_surface",2010,50,0.335212340847939,0.196232669927186,0.450160991588398
"spline_no_time_interaction",2014,50,0.400849069516494,0.305236786619992,0.483303331860632
"spline_ti_interaction",2014,50,0.41340712372865,0.317895350649429,0.49554485104316
"full_te_surface",2014,50,0.388365580697998,0.261536341317028,0.493412223504555
"spline_no_time_interaction",2020,50,0.400849069516494,0.305236786619992,0.483303331860632
"spline_ti_interaction",2020,50,0.452225103875275,0.344442523073692,0.54228675991719
"full_te_surface",2020,50,0.49380428319787,0.376297684921944,0.589172434486226
"spline_no_time_interaction",2024,50,0.400849069516494,0.305236786619992,0.483303331860632
"spline_ti_interaction",2024,50,0.476651415834505,0.353101009466314,0.576605088961311
"full_te_surface",2024,50,0.454616684290317,0.232652107601624,0.612375346305027
"spline_no_time_interaction",2025,50,0.400849069516494,0.305236786619992,0.483303331860632
"spline_ti_interaction",2025,50,0.482585259542816,0.354563979756068,0.58521370787271
"full_te_surface",2025,50,0.438943160482276,0.151763141166056,0.628895191371021
