"model","year","malaria_deaths"
"full_te_surface",2000,802201.348411959
"spline_no_time_interaction",2000,1011876.64623906
"spline_ti_interaction",2000,878195.49961117
"full_te_surface",2001,815296.126220334
"spline_no_time_interaction",2001,1020364.01368415
"spline_ti_interaction",2001,893487.87335173
"full_te_surface",2002,780476.760187
"spline_no_time_interaction",2002,970482.021085417
"spline_ti_interaction",2002,857689.576988002
"full_te_surface",2003,762063.26213313
"spline_no_time_interaction",2003,943685.94226403
"spline_ti_interaction",2003,841921.905230256
"full_te_surface",2004,743482.094403825
"spline_no_time_interaction",2004,916585.199419395
"spline_ti_interaction",2004,825394.553915059
"full_te_surface",2005,686740.372671649
"spline_no_time_interaction",2005,840732.312413088
"spline_ti_interaction",2005,764001.043228964
"full_te_surface",2006,655424.562258215
"spline_no_time_interaction",2006,794109.733776776
"spline_ti_interaction",2006,728616.278863357
"full_te_surface",2007,628583.296779271
"spline_no_time_interaction",2007,753462.325676836
"spline_ti_interaction",2007,698170.707052993
"full_te_surface",2008,602490.776796882
"spline_no_time_interaction",2008,714903.100217911
"spline_ti_interaction",2008,668858.944714464
"full_te_surface",2009,610692.622651745
"spline_no_time_interaction",2009,718345.188865541
"spline_ti_interaction",2009,677884.370606394
"full_te_surface",2010,575395.16902599
"spline_no_time_interaction",2010,666775.212751885
"spline_ti_interaction",2010,634377.935374873
"full_te_surface",2011,556782.071933899
"spline_no_time_interaction",2011,631830.9702098
"spline_ti_interaction",2011,606455.070641452
"full_te_surface",2012,546837.233003492
"spline_no_time_interaction",2012,608394.661138931
"spline_ti_interaction",2012,588793.590109015
"full_te_surface",2013,549093.949225256
"spline_no_time_interaction",2013,596833.411315408
"spline_ti_interaction",2013,582775.710674145
"full_te_surface",2014,548471.55444617
"spline_no_time_interaction",2014,581719.88523547
"spline_ti_interaction",2014,573220.709914049
"full_te_surface",2015,528990.332785866
"spline_no_time_interaction",2015,546787.545945465
"spline_ti_interaction",2015,543458.547012779
"full_te_surface",2016,516925.890335184
"spline_no_time_interaction",2016,520417.518687772
"spline_ti_interaction",2016,522715.126461129
"full_te_surface",2017,528872.785637565
"spline_no_time_interaction",2017,519075.092221734
"spline_ti_interaction",2017,527893.555025944
"full_te_surface",2018,534472.508351375
"spline_no_time_interaction",2018,512300.45766372
"spline_ti_interaction",2018,528187.325501129
"full_te_surface",2019,573747.081213892
"spline_no_time_interaction",2019,537337.060366185
"spline_ti_interaction",2019,562024.066680562
"full_te_surface",2020,576980.996609737
"spline_no_time_interaction",2020,530327.544944314
"spline_ti_interaction",2020,560775.238287147
"full_te_surface",2021,570526.420862635
"spline_no_time_interaction",2021,517396.863298772
"spline_ti_interaction",2021,551112.672055993
"full_te_surface",2022,582034.510184491
"spline_no_time_interaction",2022,521368.597472109
"spline_ti_interaction",2022,559500.095816364
"full_te_surface",2023,554859.459348934
"spline_no_time_interaction",2023,491430.819431019
"spline_ti_interaction",2023,531948.746972138
"full_te_surface",2024,550996.274954879
"spline_no_time_interaction",2024,482310.039738692
"spline_ti_interaction",2024,526873.360488418
