"iso3","who_region","who_all_age_2024","who_all_age_lo_2024","who_all_age_hi_2024","source_url"
"COD","AFR",67676,43400,110000,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"SLV","AMR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"THA","SEAR",2,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"NPL","SEAR",2,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"GUY","AMR",29,15,45,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"NIC","AMR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"SYR","EMR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"OMN","EMR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"ERI","AFR",786,320,1450,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"MYT","AFR",0,0,0,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"IDN","WPR",1138,560,1730,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"ZWE","AFR",381,140,730,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"VEN","AMR",115,60,180,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"GNB","AFR",897,770,1120,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"DZA","AFR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"DOM","AMR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"MMR","SEAR",410,170,1890,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"MAR","EMR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"AFG","EMR",270,120,460,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"BWA","AFR",1,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"AZE","EUR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"GAB","AFR",439,380,550,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"TCD","AFR",13862,10500,19100,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"NAM","AFR",32,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"GHA","AFR",11635,11000,12600,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"ARG","AMR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"ZAF","AFR",10,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"SDN","EMR",12689,4670,25200,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"GIN","AFR",10245,8480,12600,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"TJK","EUR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"BOL","AMR",12,5,20,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"RWA","AFR",3410,3190,3840,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"ECU","AMR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"ARM","EUR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"MRT","AFR",920,300,1990,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"GUF","AMR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"SAU","EMR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"SOM","EMR",2592,930,5370,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"SLE","AFR",6646,5320,8360,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"IND","SEAR",3431,1620,5750,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"LAO","WPR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"KAZ","EUR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"PRY","AMR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"SEN","AFR",1742,770,2960,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"KHM","WPR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"MLI","AFR",14239,11200,18400,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"ZMB","AFR",8682,7740,10200,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"VNM","WPR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"GEO","EUR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"IRN","EMR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"YEM","EMR",3406,1320,6700,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"SSD","AFR",6749,3720,13800,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"VUT","WPR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"PER","AMR",33,16,51,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"SLB","WPR",223,110,350,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"MOZ","AFR",17946,12500,27400,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"BLZ","AMR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"KOR","WPR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"HTI","AMR",234,89,460,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"KEN","AFR",11656,11300,12100,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"UZB","EUR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"LBR","AFR",3563,2870,4710,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"COL","AMR",26,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"TLS","SEAR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"PNG","WPR",3315,1400,5940,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
