"year","mal"
2000,1228160.1977263
2001,1238415.39737021
2002,1176508.1574762
2003,1144907.20610743
2004,1112165.04492849
2005,1017060.63160842
2006,959511.392795835
2007,909642.479703137
2008,862907.029805752
2009,871447.755784484
2010,813552.267289485
2011,772904.618663896
2012,743251.286358707
2013,729446.360532166
2014,713820.273751733
2015,678253.357781979
2016,649556.20837087
2017,647748.767229377
2018,634267.772837893
2019,658287.939568065
2020,649429.233584816
2021,638879.832320652
2022,648269.12368186
2023,611282.802382441
2024,598997.147274955
