"iso3","year","allcause_u5","allcause_1mo5y","pfpr_pct","mal_u5","mal_u5_lo","mal_u5_hi","mal_1mo5y","mal_pn_lo","mal_pn_hi"
"AGO",2000,140373.966492545,110705.738979796,18.7015285756444,16514.2296459745,8830.94679708644,23748.7286884055,27092.8244173224,16159.6938954498,36761.6535680131
"AGO",2001,138092.910204378,108249.802553858,19.8687909014979,17193.3641117092,9212.47275987241,24680.0224604809,27685.1188116463,16693.1550183354,37357.4076145433
"AGO",2002,134553.436415258,104634.7035585,19.1841411358811,16212.0672984134,8676.52691831503,23296.4835190054,26090.2436183235,15632.400238778,35319.2660900297
"AGO",2003,129888.798152016,99901.6093825152,20.2343511641614,16449.5954426149,8819.43609685141,23598.8749373736,25885.1351367394,15659.6112542988,34869.4529633362
"AGO",2004,124182.041275746,94367.981261736,20.2112549107484,15710.1071845393,8422.63161540176,22538.8011301061,24431.4089033849,14777.0941978118,32914.6540040157
"AGO",2005,117559.814272653,88058.111831607,19.9947348079463,14723.5591252583,7890.79849588395,21130.6137553449,22623.4426107611,13656.7548913123,30509.4835826407
"AGO",2006,110595.132655377,81607.7606572228,17.6922941052575,12349.9509261073,6592.69901641356,17788.4886373456,19161.0353495533,11318.9487631479,26128.1708099543
"AGO",2007,103816.797023862,75243.366650322,15.2981781832391,10104.1046735548,5371.67891496469,14609.0256730727,15778.7933869602,9104.78877626965,21779.3137003196
"AGO",2008,97412.401426032,69229.5796424925,12.8685341232089,8039.61690154993,4256.33965001586,11669.23294704,12599.9384371075,7099.74670817897,17613.1840428085
"AGO",2009,91841.6744839425,64198.039275435,11.1274621252115,6592.35601572371,3479.75644055744,9595.29917792353,10320.4632533773,5720.84600665946,14558.2583717398
"AGO",2010,86766.872955705,59613.2112753225,10.4097581917389,5840.31104388912,3079.02631963273,8510.47534911619,9041.4389082477,4979.46119528285,12801.3822908829
"AGO",2011,82519.1713949184,56010.4220348928,9.95390855648856,5319.23464397041,2802.14071404384,7756.84313924388,8166.01142404222,4479.2660163589,11588.9734386707
"AGO",2012,79055.00296848,53142.529773256,9.74809288661676,4993.99790967068,2629.88565655622,7284.97905247214,7605.67147801286,4164.41415550212,10805.1412811699
"AGO",2013,76511.24267787,51157.73810862,10.3245608013752,5109.30093974301,2693.24533104827,7446.26994163303,7703.15438988057,4239.20017282155,10911.3450661394
"AGO",2014,74459.7136300515,49524.3676702203,10.9215342324691,5249.37239329013,2769.89313625339,7643.08654176323,7833.33965154734,4334.02363280338,11061.6642770932
"AGO",2015,72820.1372455908,48193.2623518554,11.934278269143,5590.98206216443,2955.25049129871,8127.26957976615,8228.91222752235,4595.7301967945,11559.3073651272
"AGO",2016,71630.043759876,47112.377774952,13.6277674936813,6244.77834169688,3310.42259196859,9053.09221714905,8993.83487090314,5105.21564057773,12522.465232677
"AGO",2017,71065.4924449695,46517.8266608695,16.8144815408297,7563.96987792753,4031.74960231426,10910.0588757184,10505.8546572293,6153.31596528151,14389.0463482414
"AGO",2018,70832.3627876775,46135.061072328,19.2600748272712,8566.08917473657,4585.07164260369,12307.8728238311,11536.8403447047,6917.36312432189,15612.1851066314
"AGO",2019,70789.5362847344,45955.5940799632,21.5425600428514,9503.51360298747,5106.64408404339,13606.0477087802,12440.9090554032,7613.18637002546,16660.7656393228
"AGO",2020,70939.2603436088,45809.48546174,22.8851547812017,10072.4433194612,5424.65328631258,14390.4970934443,12919.2428505596,7993.765780403,17203.1734423687
"AGO",2021,71041.632365676,45669.620806506,23.6586269344225,10401.3582286782,5609.08680130824,14842.6359520618,13164.9105167175,8194.72141858165,17475.91262397
"AGO",2022,70468.0489103202,45077.8270486056,22.2853805346396,9762.60925371472,5252.46640154057,13960.8377717513,12488.6481227483,7690.02896824886,16671.3750384314
"AGO",2023,69758.451069764,44341.5104819688,20.3175454879086,8868.34037183414,4755.42991035615,12721.0090668941,11522.6282704445,6976.01980917773,15516.0025613484
"AGO",2024,68980.356479958,43499.8574536878,20.3387199328232,8777.94427992028,4707.12768853965,12590.9228878406,11312.2556836405,6849.96043158318,15231.2391169189
"BDI",2000,42130.2955478256,32095.3235767884,57.754132137673,13489.5131380985,7664.94418577214,18329.7424364133,14323.2864151611,9002.47882383894,18418.1297902043
"BDI",2001,42112.7099218125,31920.006571245,55.5684724049061,13063.4072792316,7399.81688612555,17802.9501221022,14031.6139421205,8915.43598316521,18009.9589097594
"BDI",2002,42768.0403857112,32218.7907895168,51.1373529134507,12381.559275601,6968.9483967141,16975.8113268456,13706.6553523951,8852.35508008546,17552.487197498
"BDI",2003,42840.1588752192,32051.7147660864,45.2340955170483,11179.5614876091,6237.89006253411,15454.0569290325,12973.7509701818,8486.03668932127,16606.8496692696
"BDI",2004,43175.389175296,32017.332310208,37.0856581212235,9483.40209349578,5226.22528389913,13263.0000666005,11872.0794339744,7794.02971855709,15263.5775672287
"BDI",2005,43317.7852982902,31831.7436023814,32.8192509953754,8537.72816726078,4673.60922123166,12015.4610832032,11111.9010804491,7245.13399449262,14370.5347997318
"BDI",2006,42714.993487815,31028.8160241675,27.8185604016529,7253.78535265064,3938.81478998853,10285.3553843641,9888.16756342659,6322.53322986239,12939.2039822837
"BDI",2007,41760.203835378,29937.680375134,21.2545483169778,5536.63194248658,2973.61426907233,7930.28503224716,8029.64962604517,4901.59720079608,10766.8773425502
"BDI",2008,40715.6813868672,28810.5113907072,16.771686805917,4323.22803675777,2304.19745180567,6236.13015455949,6493.98874041579,3801.94697295944,8896.24388363612
"BDI",2009,39974.4397413134,27911.3934093874,13.5543666908353,3467.08956480095,1837.70797101305,5026.85243446004,5304.61581922001,3008.92218366747,7388.66825677749
"BDI",2010,39719.2037493944,27433.5520353356,13.1521543046999,3347.19063963589,1772.93363734434,4856.1319037262,5084.88575293161,2873.05430188936,7097.51698991921
"BDI",2011,37845.0774033948,25825.8025255752,12.745377216336,3094.80556874907,1638.10530159894,4492.89861951585,4662.60400506145,2624.12257758622,6521.9852539852
"BDI",2012,35880.4220694304,24205.7621247288,13.0061596380758,2991.58714158999,1584.17892653195,4341.23933269386,4445.01508131553,2507.9499759597,6209.14839687741
"BDI",2013,34324.9196288691,22822.1762018382,14.0010892149667,3070.66038706286,1628.82983090419,4448.90908697442,4454.875127298,2537.95932883156,6190.63682561027
"BDI",2014,32710.503285721,21498.121139624,14.9485828758602,3114.44939358155,1654.75079402923,4505.53550887946,4425.54275362969,2544.86667400638,6119.6002266957
"BDI",2015,31231.434641214,20260.751321804,16.8718316295086,3334.86989849434,1777.72909510891,4809.684471065,4587.81499517019,2688.61198538273,6281.74627510273
"BDI",2016,28706.8526387552,18431.8724164064,20.5975509852874,3696.35423561057,1983.02464840154,5299.83452671158,4836.2977815218,2935.31932771208,6504.07837213825
"BDI",2017,27062.0194163844,17152.6100077576,22.5585769952985,3791.70064061915,2040.94776401962,5419.94886023161,4791.19020942329,2956.8014757681,6388.53681528662
"BDI",2018,25818.933049065,16241.653610352,27.5559620307837,4346.88073155868,2359.34444420155,6166.02738093785,5147.07439713366,3286.42008775015,6740.49713619359
