"year","mal"
2000,1047269.26769592
2001,1053424.98927732
2002,997935.900505519
2003,968215.812957319
2004,937987.881777393
2005,859058.253426958
2006,814123.515885071
2007,777148.145034157
2008,742624.082401228
2009,753109.462840249
2010,706815.430300751
2011,681330.030407394
2012,667103.83118074
2013,671200.32376326
2014,675248.427601248
2015,661254.571376942
2016,654741.62429389
2017,674340.806878547
2018,680717.81933593
2019,728134.749525134
2020,737458.85743107
2021,742835.013856209
2022,772466.87639721
2023,745523.443335124
2024,746953.377115486
