"year","outcome","deaths","lo","hi"
2000,"All under-5",734339.7489767,349074.179724592,1070072.20723832
2001,"All under-5",750671.695274903,357301.389112336,1092569.90089705
2002,"All under-5",722206.518082556,343851.296058558,1050875.19753525
2003,"All under-5",698213.200748863,332012.286170711,1017188.05921067
2004,"All under-5",674647.273748273,320409.65941981,984036.071916543
2005,"All under-5",620627.868155104,294331.909255221,906439.524466206
2006,"All under-5",592454.216740843,281055.122692127,865029.908414347
2007,"All under-5",566958.571289202,268933.128862421,827858.895601067
2008,"All under-5",535379.754513443,253552.0978233,782859.579910002
2009,"All under-5",518374.927338808,244622.776709705,760576.568755465
2010,"All under-5",470183.109235228,221046.322309852,692404.908578279
2011,"All under-5",435865.072216705,204279.392743979,643730.378471073
2012,"All under-5",407953.540905835,190386.790529445,604882.894302307
2013,"All under-5",392265.973914469,182486.428247065,583366.099002789
2014,"All under-5",368810.649013993,171078.993227674,549994.426847215
2015,"All under-5",335457.40167704,154999.009897903,502158.275573233
2016,"All under-5",314672.458632934,145143.332783146,471846.907679477
2017,"All under-5",315774.749080051,145740.14331513,473227.575715531
2018,"All under-5",323137.934260845,149505.522343374,483105.013701904
2019,"All under-5",349688.296227786,162346.617155715,521054.702068906
2020,"All under-5",349513.723540544,162264.879352521,520803.227533673
2021,"All under-5",329653.608237947,152577.050258682,492668.275727437
2022,"All under-5",320721.651250999,148043.467096942,480574.045585802
2023,"All under-5",307626.458630692,141870.114172976,461362.19001551
2024,"All under-5",303126.839909483,139829.115521004,454500.507385719
2000,"1mo-5y (neonatal excl.)",766371.009682769,430520.583753123,1048494.45426079
2001,"1mo-5y (neonatal excl.)",781279.055237856,439609.027643848,1067328.25292675
2002,"1mo-5y (neonatal excl.)",745325.228737453,419561.073653105,1017830.63351425
2003,"1mo-5y (neonatal excl.)",716918.369372363,402995.149493601,980362.474858458
2004,"1mo-5y (neonatal excl.)",688309.338120313,386373.202958481,942501.060515
2005,"1mo-5y (neonatal excl.)",623932.697032653,349522.295684535,855926.276876305
2006,"1mo-5y (neonatal excl.)",592090.33656484,331822.634651543,811910.26226916
2007,"1mo-5y (neonatal excl.)",562771.905264276,315369.297796098,771726.612023928
2008,"1mo-5y (neonatal excl.)",528188.384988976,295422.920542386,725506.006047645
2009,"1mo-5y (neonatal excl.)",513800.225985279,286172.322723009,708509.688526741
2010,"1mo-5y (neonatal excl.)",457575.012921513,253598.954926345,633987.742506903
2011,"1mo-5y (neonatal excl.)",422039.163713456,232990.426514137,586865.452389705
2012,"1mo-5y (neonatal excl.)",393135.355562724,215948.364572741,549157.82355956
2013,"1mo-5y (neonatal excl.)",375503.659232897,205480.386072114,526381.889156532
2014,"1mo-5y (neonatal excl.)",356455.52216069,194345.799693531,501393.415633403
2015,"1mo-5y (neonatal excl.)",324105.559259272,175860.251807231,457997.759544143
2016,"1mo-5y (neonatal excl.)",304275.226588883,164748.623032598,430870.637118336
2017,"1mo-5y (neonatal excl.)",305343.601625551,165474.26774841,432023.43037638
2018,"1mo-5y (neonatal excl.)",307604.293129705,167218.191968653,433919.973306128
2019,"1mo-5y (neonatal excl.)",332524.389156549,181545.771613162,467128.686803123
2020,"1mo-5y (neonatal excl.)",328523.051749668,179378.48062941,461472.38596924
2021,"1mo-5y (neonatal excl.)",311974.720607724,169696.413452941,439832.243014033
2022,"1mo-5y (neonatal excl.)",307648.23283432,166803.027674022,435082.116440948
2023,"1mo-5y (neonatal excl.)",287865.977518429,155896.504900291,407564.843495559
2024,"1mo-5y (neonatal excl.)",282921.866009343,153261.325353254,400450.235177791
