survey,mean_maternal_age_first_birth,mean_maternal_education_years,mean_wealth_quintile,urban_pct,dtp3_pct,measles_pct,facility_delivery_pct,short_birth_interval_pct,improved_water_pct,improved_sanitation_pct,electricity_pct,wasting_pct,stunting_pct
MC_BEN2014,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_BEN2021,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_CAF2018,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_CIV2016,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_CMR2014,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_COD2017,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_COG2014,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_COM2022,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_GHA2011,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_GHA2017,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_GIN2016,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_GMB2018,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_GNB2014,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_GNB2018,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_KEN2009MOM,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_KEN2011NYA,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_KEN2013BUN,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_KEN2013KAK,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_KEN2013TUR,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_MDG2012S,100,100,100,100,100,100,100,100,100,100,100,0,0
MC_MDG2018,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_MLI2015,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_MOZ2008,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_MRT2011,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_MRT2015,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_MWI2006,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_MWI2013,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_MWI2019,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_NGA2016,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_NGA2021,100,100,100,100,100,100,100,100,100,100,100,0,0
MC_SEN2015DKR,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_SLE2017,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_SOM2006,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_SOM2011NE,100,100,100,100,100,100,100,100,100,100,100,0,0
MC_SOM2011SL,100,100,100,100,100,100,100,100,100,100,100,0,0
MC_SSD2010,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_STP2014,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_STP2019,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_SWZ2010,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_SWZ2014,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_SWZ2021,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_TCD2019,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_TGO2017,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_ZWE2009,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_ZWE2014,100,100,100,100,100,100,100,100,100,100,100,100,100
MC_ZWE2019,100,100,100,100,100,100,100,100,100,100,100,100,100
