survey,iso3,year,round,subnational,n_files,has_bh,haz_var,whz_var,region_var,n_regions,region_labels,edu_var,wealth_var,urban_var,first_birth_var,delivery_var,water_var,toilet_var,electricity_var,dtp_vars,dtp3_var,measles_var,raw_anthro,bh_dob_source,bh_has_core,births,deaths,deaths_age_known,deaths_under5,births_last5y,deaths_last5y_under5,interview_year,alive_codes
AGO_2001_MICS2_v01_M,AGO,2001,2,FALSE,4,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI_2000_MICS2_v01_M,BDI,2000,2,FALSE,4,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI_2005_MICS3_v01_M,BDI,2005,3,FALSE,4,FALSE,,,HH7,5,Nord | Sud | Est | Ouest | Centre,WM11,wlthind5,HH6,,MN8,WS1,WS7,HC9A,20,IM4CD,IM6D,FALSE,,,,,,,,,,
BEN_2014_MICS5_v01_M,BEN,2014,5,FALSE,9,TRUE,HAZ2,WHZ2,HH7,12,Alibori | Atacora | Atlantique | Borgou | Collines | Couffo | Donga | Littoral | Mono | Ouémé | Plateau | Zou,welevel,windex5,HH6,WDOBFC,MN18,WS1,WS8,HC8A,13,IM3PENTA3D,IM16,FALSE,cmc,TRUE,45183,5548,5548,4906,12710,1028,2014,"1,2"
BEN_2021_MICS6_v01_M,BEN,2021,6,FALSE,8,TRUE,HAP,WHP,HH7,12,ALIBORI | ATACORA | ATLANTIQUE | BORGOU | COLLINES | COUFFO | DONGA | LITTORAL | MONO | OUEME | PLATEAU | ZOU,welevel,windex5,HH6,WDOBFC,MN20,WS1,WS11,HC8,11,IM6PENTA3D,IM6VARD,TRUE,cmc,TRUE,49174,4236,4236,3667,13288,787,2021,"1,2"
BFA_2006_MICS3_v01_M,BFA,2006,3,FALSE,5,FALSE,haz,whz,HH7,13,Boucle du Mouhoun | Cascade | Centre | Centre-Sud | Centre-Est | Centre-Nord | Centre-Ouest | Est | Hauts-Bassins | Nord | Plateau-Central | Sahel | Sud-Ouest,WM11,wlthind5,HH6,,MN8,WS1,WS7,HC9A,11,IM4CD,IM6D,TRUE,,,,,,,,,,
BWA_2000_MICS2_v01_M,BWA,2000,2,FALSE,4,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF_2000_MICS2_v01_M,CAF,2000,2,FALSE,4,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF_2006_MICS3_v01_M,CAF,2006,3,FALSE,6,FALSE,HAP,WHZ,HH7,16,“Ombella Mpoko” | “Nana Mambere” | “Haute Kotto” | “Lobaye” | “Mambere Kadei” | “Sangha Mbaere” | “Nana Mambere” | “Ouham” | “Ouham Pende” | “Ouaka” | “Baminigui Bangoran” | “Haute Kotto” | “Mbomou” | “Basse Kotto” | “Haut Mbomou” | “Bangui”,WM11,wlthind5,HH6,,MN8,WS1,WS7,HC9A,23,IM4CD,IM6D,TRUE,,,,,,,,,,
CAF_2010_MICS4_v01_M,CAF,2010,4,FALSE,7,FALSE,HAP,WHP,HH7,17,Ombella Mpoko | Lobaye | Mambere Kadei | Nana Mambéré | Sangha Mbaere | Ouham Pende | Ouham | Kémo | Nana Grebizi | Ouaka | Haute-Kotto | Baminigui Bangoran | Vakaga | Basse Kotto | Mbomou | Haut Mbomou | Bangui,welevel,windex5,HH6,WDOBFC,MN18,WS1,WS8,HC8A,22,IM3D3D,IM16,TRUE,,,,,,,,,,
