"year","point","lo","hi"
2000,804000,781000,834000
2001,815000,789000,851000
2002,786000,761000,819000
2003,758000,733000,792000
2004,751000,722000,803000
2005,712000,686000,755000
2006,723000,695000,766000
2007,704000,677000,742000
2008,666000,641000,7e+05
2009,673000,646000,716000
2010,650000,620000,698000
2011,618000,592000,658000
2012,578000,552000,616000
2013,556000,526000,598000
2014,550000,518000,601000
2015,550000,517000,605000
2016,546000,513000,602000
2017,548000,513000,608000
2018,552000,514000,624000
2019,545000,505000,626000
2020,598000,553000,711000
2021,577000,535000,691000
2022,573000,530000,698000
2023,567000,520000,694000
2024,579000,531000,706000
